Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_MRP_Category,Item_Weight_Category
FDN08,7.72,Regular,0.147904328,Fruits and Vegetables,116.6466,OUT010,1998,,Tier 3,Grocery Store,117.8466,Trung bình,Nhẹ
NCJ42,19.75,Low Fat,0.014301326,Household,103.0332,OUT046,1997,Small,Tier 1,Supermarket Type1,1230.3984,Trung bình,Trung bình
FDY47,,Regular,0.054220618,Breads,129.131,OUT027,1985,Medium,Tier 3,Supermarket Type3,4933.578,Trung bình,
FDN45,19.35,Low Fat,0.118342285,Snack Foods,222.6088,OUT045,2002,,Tier 2,Supermarket Type1,1789.6704,Đắt,Trung bình
FDY16,18.35,Regular,0.092150005,Frozen Foods,184.8266,OUT013,1987,High,Tier 3,Supermarket Type1,3872.9586,Trung bình,Trung bình
FDA45,21.25,Low Fat,0.155694794,Snack Foods,177.637,OUT045,2002,,Tier 2,Supermarket Type1,2999.429,Trung bình,Nặng
FDD45,8.615,low fat,0.116152226,Fruits and Vegetables,94.1436,OUT013,1987,High,Tier 3,Supermarket Type1,1512.6976,Rẻ,Nhẹ
FDB47,8.8,Low Fat,0.071369947,Snack Foods,209.1612,OUT013,1987,High,Tier 3,Supermarket Type1,2090.612,Đắt,Nhẹ
FDU36,6.15,Low Fat,0.046262201,Baking Goods,97.8384,OUT035,2004,Small,Tier 2,Supermarket Type1,2069.3064,Rẻ,Nhẹ
FDA48,12.1,Low Fat,0.11487406,Baking Goods,221.4114,OUT046,1997,Small,Tier 1,Supermarket Type1,5099.3622,Đắt,Trung bình
FDZ33,10.195,Low Fat,0.107307677,Snack Foods,149.8076,OUT013,1987,High,Tier 3,Supermarket Type1,2217.114,Trung bình,Trung bình
NCV05,10.1,Low Fat,0.030269774,Health and Hygiene,152.4656,OUT045,2002,,Tier 2,Supermarket Type1,2934.8464,Trung bình,Trung bình
FDX31,20.35,Regular,0.014813268,Fruits and Vegetables,234.9958,OUT013,1987,High,Tier 3,Supermarket Type1,5842.395,Đắt,Nặng
DRL11,10.5,Low Fat,0.048009081,Hard Drinks,157.0946,OUT035,2004,Small,Tier 2,Supermarket Type1,2209.1244,Trung bình,Trung bình
FDU38,10.8,Low Fat,0.083016832,Dairy,193.4504,OUT017,2007,,Tier 2,Supermarket Type1,2876.256,Trung bình,Trung bình
FDB09,16.25,Low Fat,0.057629899,Fruits and Vegetables,123.9046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1120.5414,Trung bình,Trung bình
FDD52,18.25,Regular,0.184041545,Dairy,110.157,OUT018,2009,Medium,Tier 3,Supermarket Type2,1867.569,Trung bình,Trung bình
NCA05,20.75,Low Fat,0.025272781,Health and Hygiene,146.6734,OUT017,2007,,Tier 2,Supermarket Type1,445.4202,Trung bình,Nặng
FDT13,,Low Fat,0.032516546,Canned,188.8214,OUT019,1985,Small,Tier 1,Grocery Store,753.6856,Trung bình,
FDC10,9.8,reg,0.072863893,Snack Foods,118.6098,OUT035,2004,Small,Tier 2,Supermarket Type1,843.5686,Trung bình,Nhẹ
NCL19,15.35,Low Fat,0.015676231,Others,144.047,OUT046,1997,Small,Tier 1,Supermarket Type1,286.294,Trung bình,Trung bình
FDF21,10.3,Regular,0.058918844,Fruits and Vegetables,191.653,OUT049,1999,Medium,Tier 1,Supermarket Type1,5313.084,Trung bình,Trung bình
FDV13,17.35,Regular,0.02758789,Canned,86.1856,OUT013,1987,High,Tier 3,Supermarket Type1,703.0848,Rẻ,Trung bình
FDP39,12.65,Low Fat,0.116203156,Meat,53.5324,OUT010,1998,,Tier 3,Grocery Store,415.4592,Rẻ,Trung bình
NCQ30,7.725,Low Fat,0.029117482,Household,123.0414,OUT049,1999,Medium,Tier 1,Supermarket Type1,1583.9382,Trung bình,Nhẹ
FDO36,19.7,Low Fat,0.077899109,Baking Goods,177.766,OUT035,2004,Small,Tier 2,Supermarket Type1,2696.49,Trung bình,Trung bình
FDI32,17.7,Low Fat,0.174340475,Fruits and Vegetables,116.6834,OUT035,2004,Small,Tier 2,Supermarket Type1,3570.6854,Trung bình,Trung bình
FDD26,8.71,Regular,0.120773451,Canned,186.5924,OUT010,1998,,Tier 3,Grocery Store,555.2772,Trung bình,Nhẹ
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,Rẻ,Nhẹ
FDH16,,Low Fat,0.052300844,Frozen Foods,88.283,OUT027,1985,Medium,Tier 3,Supermarket Type3,2157.192,Rẻ,
DRF36,,Low Fat,0.023463124,Soft Drinks,190.6846,OUT027,1985,Medium,Tier 3,Supermarket Type3,9554.23,Trung bình,
FDS43,11.65,Low Fat,0.040744057,Fruits and Vegetables,185.924,OUT017,2007,,Tier 2,Supermarket Type1,4101.328,Trung bình,Trung bình
FDQ45,,Regular,0.010864186,Snack Foods,185.3608,OUT027,1985,Medium,Tier 3,Supermarket Type3,5329.0632,Trung bình,
NCI55,18.6,Low Fat,0.012651172,Household,123.1414,OUT035,2004,Small,Tier 2,Supermarket Type1,2314.9866,Trung bình,Trung bình
NCR29,7.565,Low Fat,0.054863459,Health and Hygiene,58.393,OUT018,2009,Medium,Tier 3,Supermarket Type2,509.337,Rẻ,Nhẹ
NCO29,11.15,Low Fat,0.032229348,Health and Hygiene,163.2526,OUT013,1987,High,Tier 3,Supermarket Type1,1480.0734,Trung bình,Trung bình
FDU51,20.2,Regular,0.096495426,Meat,175.6028,OUT035,2004,Small,Tier 2,Supermarket Type1,3364.9532,Trung bình,Nặng
DRJ01,6.135,low fat,0.115500999,Soft Drinks,161.1236,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,Trung bình,Nhẹ
FDE29,8.905,LF,0.143712172,Frozen Foods,60.2878,OUT018,2009,Medium,Tier 3,Supermarket Type2,1151.1682,Rẻ,Nhẹ
DRD25,6.135,Low Fat,0.0,Soft Drinks,114.286,OUT046,1997,Small,Tier 1,Supermarket Type1,2376.906,Trung bình,Nhẹ
FDX46,12.3,Regular,0.058234621,Snack Foods,58.7562,OUT045,2002,,Tier 2,Supermarket Type1,592.562,Rẻ,Trung bình
